a4:34:d9:cd:0b:54,891898,268436,891898,268436,2018-04-13 17:18
bc:60:a7:d4:b6:aa,3120058,59782,3120058,59782,2018-04-13 18:18
5c:8d:4e:d9:7c:f8,810250,568808,810250,568808,2018-04-13 19:11
30:63:6b:2e:65:b6,107,35,107,35,2018-04-13 20:06
c8:3a:6b:34:c1:2f,3374378,18445,3374378,18445,2018-04-13 21:30
a8:82:00:64:1d:0f,13163672,115685,13163672,115685,2018-04-13 22:03
28:f0:76:11:67:98,433367,13486,433367,13486,2018-04-14 02:27
a8:66:7f:30:38:79,142465,23635,142465,23635,2018-04-14 02:30
70:56:81:dd:c2:0a,766,99,766,99,2018-04-14 02:51
10:ae:60:3d:3d:cd,230245,2934,230245,2934,2018-04-14 02:59
10:ae:60:35:74:d4,70129,3809,70129,3809,2018-04-14 03:24
5c:f5:da:b0:54:ed,8473,1273,8473,1273,2018-04-14 03:26
24:f0:94:35:1a:f0,113443,10055,113443,10055,2018-04-14 03:33
00:1f:e1:3e:09:8b,64,42,64,42,2018-04-14 03:34
24:f0:94:21:03:e1,978867,31143,978867,31143,2018-04-14 03:35
88:cb:87:8c:75:01,7346,2726,7346,2726,2018-04-14 03:39
