30:63:6b:2e:65:b6,44,25,44,25,2018-04-14 15:26
c8:3a:6b:34:c1:2f,2462910,18799,2462910,18799,2018-04-14 16:48
5c:8d:4e:d9:7c:f8,3156,341,3156,341,2018-04-14 17:38
bc:60:a7:d4:b6:aa,3104,498,3104,498,2018-04-14 21:55
a8:82:00:64:1d:0f,19698656,296187,19698656,296187,2018-04-14 23:59
10:ae:60:3d:3d:cd,35160,1059,35160,1059,2018-04-15 02:15
28:f0:76:11:67:98,432731,7103,432731,7103,2018-04-15 02:44
a8:66:7f:30:38:79,2202810,691843,2202810,691843,2018-04-15 03:00
10:ae:60:35:74:d4,53379,3059,53379,3059,2018-04-15 03:24
00:0d:4b:bf:73:e1,3213774,13500,3213774,13500,2018-04-15 03:28
70:56:81:dd:c2:0a,1048,124,1048,124,2018-04-15 03:32
00:1f:e1:3e:09:8b,61,33,61,33,2018-04-15 03:34
24:f0:94:35:1a:f0,141113,5485,141113,5485,2018-04-15 03:36
88:cb:87:8c:75:01,192968,44802,192968,44802,2018-04-15 03:41
5c:f5:da:b0:54:ed,27152,8466,27152,8466,2018-04-15 03:43
24:f0:94:21:03:e1,846290,79034,846290,79034,2018-04-15 03:45
