88:cb:87:8c:75:01,7,7,7,7,2017-01-26 10:19
00:1f:e1:3e:09:8b,1,1,1,1,2017-01-26 10:22
70:56:81:dd:c2:09,21,6,21,6,2017-01-26 10:25
00:0d:4b:bf:73:e1,126,10,126,10,2017-01-26 10:29
10:ae:60:35:74:d4,51,69,51,69,2017-01-26 10:31
10:ae:60:3d:3d:cd,22,7,22,7,2017-01-26 10:32
a8:66:7f:30:38:79,4043,657,4043,657,2017-01-26 10:32
24:f0:94:21:03:e1,257,64,257,64,2017-01-26 10:32
cc:20:e8:06:5d:fa,10,7,10,7,2017-01-26 10:33
5c:f5:da:b0:54:ed,220,42,220,42,2017-01-26 10:33
34:e6:d7:76:40:7d,1278,814,1278,814,2017-01-26 10:33
